asset_ID,currency,image_URL,name,price,purchase_URL,quality
201000034,ETH,https://card.godsunchained.com/?id=1210&q=4&w=512&png=true,Jinxblade Duelist, 0.0002,https://godsunchained.com/marketplace/search/(asset:details/1210/4/your_contract_number/card),Meteorite
201000035,ETH,https://card.godsunchained.com/?id=1158&q=4&w=512&png=true,Switch Duelist, 0.005,https://godsunchained.com/marketplace/search/(asset:details/1158/4/your_contract_number/card),Meteorite
201000036,ETH,https://card.godsunchained.com/?id=135&q=1&w=512&png=true,Fertility Idol, 0.38,https://godsunchained.com/marketplace/search/(asset:details/135/1/your_contract_number/card),Diamond
201000037,ETH,https://card.godsunchained.com/?id=32&q=1&w=512&png=true,Spellwrought Angel, 0.06,https://godsunchained.com/marketplace/search/(asset:details/32/1/your_contract_number/card),Diamond
201000038,ETH,https://card.godsunchained.com/?id=259&q=1&w=512&png=true,Warden of Kauket, 0.17,https://godsunchained.com/marketplace/search/(asset:details/259/1/your_contract_number/card),Diamond
201000039,ETH,https://card.godsunchained.com/?id=78&q=1&w=512&png=true,Annoying Combatant, 0.22,https://godsunchained.com/marketplace/search/(asset:details/78/1/your_contract_number/card),Diamond
201000040,ETH,https://card.godsunchained.com/?id=325&q=2&w=512&png=true,Mindful Orc, 0.04,https://godsunchained.com/marketplace/search/(asset:details/325/2/your_contract_number/card),Gold
201000041,ETH,https://card.godsunchained.com/?id=310&q=1&w=512&png=true,Equivalent Exchange, 4,https://godsunchained.com/marketplace/search/(asset:details/310/1/your_contract_number/card),Diamond
201000042,ETH,https://card.godsunchained.com/?id=192&q=1&w=512&png=true,Actuary of War, 0.79,https://godsunchained.com/marketplace/search/(asset:details/192/1/your_contract_number/card),Diamond
201000043,ETH,https://card.godsunchained.com/?id=109&q=1&w=512&png=true,Aegis Commander, 0.97,https://godsunchained.com/marketplace/search/(asset:details/109/1/your_contract_number/card),Diamond
201000044,ETH,https://card.godsunchained.com/?id=50&q=4&w=512&png=true,Anputian Magus, 0.0003,https://godsunchained.com/marketplace/search/(asset:details/50/4/your_contract_number/card),Meteorite
201000045,ETH,https://card.godsunchained.com/?id=155&q=2&w=512&png=true,Jason Medea\'s Muse, 8,https://godsunchained.com/marketplace/search/(asset:details/155/2/your_contract_number/card),Gold
201000046,ETH,https://card.godsunchained.com/?id=131&q=4&w=512&png=true,Lara Grim Spellthief, 0.0696,https://godsunchained.com/marketplace/search/(asset:details/131/4/your_contract_number/card),Meteorite
201000047,ETH,https://card.godsunchained.com/?id=358&q=2&w=512&png=true,Avatar of Magic, 3.5,https://godsunchained.com/marketplace/search/(asset:details/358/2/your_contract_number/card),Gold
201000048,ETH,https://card.godsunchained.com/?id=1179&q=4&w=512&png=true,Penthesilean Warrior, 0.04,https://godsunchained.com/marketplace/search/(asset:details/1179/4/your_contract_number/card),Meteorite
201000049,ETH,https://card.godsunchained.com/?id=261&q=1&w=512&png=true,Blessed Jackalope, 0.475,https://godsunchained.com/marketplace/search/(asset:details/261/1/your_contract_number/card),Diamond
201000050,ETH,https://card.godsunchained.com/?id=324&q=2&w=512&png=true,Reformation, 0.0142,https://godsunchained.com/marketplace/search/(asset:details/324/2/your_contract_number/card),Gold
201000051,ETH,https://card.godsunchained.com/?id=150&q=2&w=512&png=true,Nephthys Guardian, 0.044,https://godsunchained.com/marketplace/search/(asset:details/150/2/your_contract_number/card),Gold
201000052,ETH,https://card.godsunchained.com/?id=56&q=1&w=512&png=true,Pharaoh\'s Body-Double, 0.28,https://godsunchained.com/marketplace/search/(asset:details/56/1/your_contract_number/card),Diamond
201000053,ETH,https://card.godsunchained.com/?id=154&q=1&w=512&png=true,Mirror Mirror, 0.0989,https://godsunchained.com/marketplace/search/(asset:details/154/1/your_contract_number/card),Diamond
201000054,ETH,https://card.godsunchained.com/?id=112&q=1&w=512&png=true,Rift Scholar, 0.2999,https://godsunchained.com/marketplace/search/(asset:details/112/1/your_contract_number/card),Diamond
