name,price,currency,quality,purchase_URL,image_URL
1026,1.9475,ETH,4,https://tokentrove.com/GodsUnchainedCards/1026-4,https://card.godsunchained.com/?id=1026&q=4&w=512&png=true
1027,1.229,ETH,4,https://tokentrove.com/GodsUnchainedCards/1027-4,https://card.godsunchained.com/?id=1027&q=4&w=512&png=true
1028,0.0082,ETH,4,https://tokentrove.com/GodsUnchainedCards/1028-4,https://card.godsunchained.com/?id=1028&q=4&w=512&png=true
1029,0.0092,ETH,4,https://tokentrove.com/GodsUnchainedCards/1029-4,https://card.godsunchained.com/?id=1029&q=4&w=512&png=true
103,1025.0,ETH,1,https://tokentrove.com/GodsUnchainedCards/103-1,https://card.godsunchained.com/?id=103&q=1&w=512&png=true
103,153.75,ETH,2,https://tokentrove.com/GodsUnchainedCards/103-2,https://card.godsunchained.com/?id=103&q=2&w=512&png=true
103,12.3,ETH,3,https://tokentrove.com/GodsUnchainedCards/103-3,https://card.godsunchained.com/?id=103&q=3&w=512&png=true
103,1.025,ETH,4,https://tokentrove.com/GodsUnchainedCards/103-4,https://card.godsunchained.com/?id=103&q=4&w=512&png=true
1030,0.0307,ETH,4,https://tokentrove.com/GodsUnchainedCards/1030-4,https://card.godsunchained.com/?id=1030&q=4&w=512&png=true
1031,0.0513,ETH,4,https://tokentrove.com/GodsUnchainedCards/1031-4,https://card.godsunchained.com/?id=1031&q=4&w=512&png=true
1032,0.0092,ETH,4,https://tokentrove.com/GodsUnchainedCards/1032-4,https://card.godsunchained.com/?id=1032&q=4&w=512&png=true
1033,2.6004,ETH,4,https://tokentrove.com/GodsUnchainedCards/1033-4,https://card.godsunchained.com/?id=1033&q=4&w=512&png=true
1034,0.0922,ETH,4,https://tokentrove.com/GodsUnchainedCards/1034-4,https://card.godsunchained.com/?id=1034&q=4&w=512&png=true
1035,0.041,ETH,4,https://tokentrove.com/GodsUnchainedCards/1035-4,https://card.godsunchained.com/?id=1035&q=4&w=512&png=true
1036,0.2972,ETH,4,https://tokentrove.com/GodsUnchainedCards/1036-4,https://card.godsunchained.com/?id=1036&q=4&w=512&png=true
1037,0.9635,ETH,4,https://tokentrove.com/GodsUnchainedCards/1037-4,https://card.godsunchained.com/?id=1037&q=4&w=512&png=true
1038,2.5625,ETH,4,https://tokentrove.com/GodsUnchainedCards/1038-4,https://card.godsunchained.com/?id=1038&q=4&w=512&png=true
1039,6.9598,ETH,4,https://tokentrove.com/GodsUnchainedCards/1039-4,https://card.godsunchained.com/?id=1039&q=4&w=512&png=true
104,10.25,ETH,1,https://tokentrove.com/GodsUnchainedCards/104-1,https://card.godsunchained.com/?id=104&q=1&w=512&png=true
104,2.1013,ETH,2,https://tokentrove.com/GodsUnchainedCards/104-2,https://card.godsunchained.com/?id=104&q=2&w=512&png=true
104,0.1333,ETH,3,https://tokentrove.com/GodsUnchainedCards/104-3,https://card.godsunchained.com/?id=104&q=3&w=512&png=true
104,0.0103,ETH,4,https://tokentrove.com/GodsUnchainedCards/104-4,https://card.godsunchained.com/?id=104&q=4&w=512&png=true
1040,0.082,ETH,4,https://tokentrove.com/GodsUnchainedCards/1040-4,https://card.godsunchained.com/?id=1040&q=4&w=512&png=true
1041,0.0307,ETH,4,https://tokentrove.com/GodsUnchainedCards/1041-4,https://card.godsunchained.com/?id=1041&q=4&w=512&png=true
1042,0.0717,ETH,4,https://tokentrove.com/GodsUnchainedCards/1042-4,https://card.godsunchained.com/?id=1042&q=4&w=512&png=true
1043,0.0205,ETH,4,https://tokentrove.com/GodsUnchainedCards/1043-4,https://card.godsunchained.com/?id=1043&q=4&w=512&png=true
1044,0.0922,ETH,4,https://tokentrove.com/GodsUnchainedCards/1044-4,https://card.godsunchained.com/?id=1044&q=4&w=512&png=true
1045,0.8405,ETH,4,https://tokentrove.com/GodsUnchainedCards/1045-4,https://card.godsunchained.com/?id=1045&q=4&w=512&png=true
1046,0.3997,ETH,4,https://tokentrove.com/GodsUnchainedCards/1046-4,https://card.godsunchained.com/?id=1046&q=4&w=512&png=true
1047,1.189,ETH,4,https://tokentrove.com/GodsUnchainedCards/1047-4,https://card.godsunchained.com/?id=1047&q=4&w=512&png=true
1048,5.1147,ETH,4,https://tokentrove.com/GodsUnchainedCards/1048-4,https://card.godsunchained.com/?id=1048&q=4&w=512&png=true
1049,5.124,ETH,4,https://tokentrove.com/GodsUnchainedCards/1049-4,https://card.godsunchained.com/?id=1049&q=4&w=512&png=true
105,20.5,ETH,1,https://tokentrove.com/GodsUnchainedCards/105-1,https://card.godsunchained.com/?id=105&q=1&w=512&png=true
105,61.5,ETH,2,https://tokentrove.com/GodsUnchainedCards/105-2,https://card.godsunchained.com/?id=105&q=2&w=512&png=true
105,0.82,ETH,3,https://tokentrove.com/GodsUnchainedCards/105-3,https://card.godsunchained.com/?id=105&q=3&w=512&png=true
105,0.041,ETH,4,https://tokentrove.com/GodsUnchainedCards/105-4,https://card.godsunchained.com/?id=105&q=4&w=512&png=true
1050,4.4383,ETH,4,https://tokentrove.com/GodsUnchainedCards/1050-4,https://card.godsunchained.com/?id=1050&q=4&w=512&png=true
1051,3.075,ETH,4,https://tokentrove.com/GodsUnchainedCards/1051-4,https://card.godsunchained.com/?id=1051&q=4&w=512&png=true
1052,0.5433,ETH,4,https://tokentrove.com/GodsUnchainedCards/1052-4,https://card.godsunchained.com/?id=1052&q=4&w=512&png=true
1053,0.3577,ETH,4,https://tokentrove.com/GodsUnchainedCards/1053-4,https://card.godsunchained.com/?id=1053&q=4&w=512&png=true
1054,0.491,ETH,4,https://tokentrove.com/GodsUnchainedCards/1054-4,https://card.godsunchained.com/?id=1054&q=4&w=512&png=true
1055,0.0922,ETH,4,https://tokentrove.com/GodsUnchainedCards/1055-4,https://card.godsunchained.com/?id=1055&q=4&w=512&png=true
1056,0.0103,ETH,4,https://tokentrove.com/GodsUnchainedCards/1056-4,https://card.godsunchained.com/?id=1056&q=4&w=512&png=true
1057,0.0513,ETH,4,https://tokentrove.com/GodsUnchainedCards/1057-4,https://card.godsunchained.com/?id=1057&q=4&w=512&png=true
1058,0.0185,ETH,4,https://tokentrove.com/GodsUnchainedCards/1058-4,https://card.godsunchained.com/?id=1058&q=4&w=512&png=true
1059,0.041,ETH,4,https://tokentrove.com/GodsUnchainedCards/1059-4,https://card.godsunchained.com/?id=1059&q=4&w=512&png=true
106,1025.0,ETH,1,https://tokentrove.com/GodsUnchainedCards/106-1,https://card.godsunchained.com/?id=106&q=1&w=512&png=true
106,41.0,ETH,2,https://tokentrove.com/GodsUnchainedCards/106-2,https://card.godsunchained.com/?id=106&q=2&w=512&png=true
106,2.5625,ETH,3,https://tokentrove.com/GodsUnchainedCards/106-3,https://card.godsunchained.com/?id=106&q=3&w=512&png=true
106,0.615,ETH,4,https://tokentrove.com/GodsUnchainedCards/106-4,https://card.godsunchained.com/?id=106&q=4&w=512&png=true
1060,0.0922,ETH,4,https://tokentrove.com/GodsUnchainedCards/1060-4,https://card.godsunchained.com/?id=1060&q=4&w=512&png=true
1061,0.2562,ETH,4,https://tokentrove.com/GodsUnchainedCards/1061-4,https://card.godsunchained.com/?id=1061&q=4&w=512&png=true
1062,0.0103,ETH,4,https://tokentrove.com/GodsUnchainedCards/1062-4,https://card.godsunchained.com/?id=1062&q=4&w=512&png=true
1063,1.23,ETH,4,https://tokentrove.com/GodsUnchainedCards/1063-4,https://card.godsunchained.com/?id=1063&q=4&w=512&png=true
1064,1.6902,ETH,4,https://tokentrove.com/GodsUnchainedCards/1064-4,https://card.godsunchained.com/?id=1064&q=4&w=512&png=true
