shamar-nicholson,Shamar Nicholson
felipe-anderson-pereira-gomes,Felipe Anderson
faris-haroun,Faris Haroun
fernando-dos-santos-pedro,Fernando
bakary-adama-soumaoro,Adama Soumaoro
alejandro-grimaldo-garcia,Álex Grimaldo
dries-wouters,Dries Wouters
vladislav-ignatyev,Vladislav Ignatyev
lorenzo-pellegrini,Lorenzo Pellegrini
andraz-sporar,Andraž Šporar
kristijan-bistrovic,Kristijan Bistrović
david-chidozie-okereke,David Okereke
chris-smalling,Chris Smalling
yevhen-konoplyanka,Yevhen Konoplyanka
stergos-marinos,Stergos Marinos
igor-diveev,Igor Diveev
maximiliano-gomez-gonzalez,Maxi Gómez
christophe-lepoint,Christophe Lepoint
shawn-adewoye,Shawn Adewoye
dorian-dessoleil,Dorian Dessoleil
cristiano-piccini,Cristiano Piccini
adrien-rabiot,Adrien Rabiot
gnaly-maxwell-cornet,Maxwell Cornet
daniel-munoz-mejia,Daniel Muñoz
renato-junior-luz-sanches,Renato Sanches
alan-dzagoev,Alan Dzagoev
valere-germain,Valère Germain
odisseas-vlachodimos,Odysseas
mathis-ryan-cherki,Mathis Cherki
fabio-pereira-da-silva,Fábio
timothy-weah,Timothy Weah
karl-brillant-toko-ekambi,Karl Toko Ekambi
igor-alberto-rinck-de-camargo,Igor de Camargo
vincent-kompany,Vincent Kompany
maksim-glushenkov,Maksim Glushenkov
daan-heymans,Daan Heymans
mike-maignan,Mike Maignan
marcus-wendel-valle-da-silva,Wendel
modou-diagne,Modou Diagne
samuel-gigot,Samuel Gigot
olivier-verdon,Olivier Verdon
otavio-edmilson-da-silva-monteiro,Otavinho
leonardo-julian-balerdi-rossa,Leonardo Balerdi
mouctar-diakhaby,Mouctar Diakhaby
sebastien-dewaest,Sébastien Dewaest
rodrigo-moreno-machado,Rodrigo
angel-martin-correa,Ángel Correa
benito-raman,Benito Raman
megan-laurent,Mégan Laurent
vladislav-torop,Vladislav Torop
kristof-d-haene,Kristof D'Haene
andrei-girotto,Andrei Girotto
albert-mboyo-sambi-lokonga,Albert-Mboyo Lokonga
aleksandar-vukotic,Aleksandar Vukotić
emerson-aparecido-leite-de-souza-junior,Emerson
igor-plastun,Igor Plastun
anton-kochenkov,Anton Kochenkov
thomas-strakosha,Thomas Strakosha
ederzito-antonio-macedo-lopes,Éder
samuel-bastien,Samuel Bastien
miralem-pjanic,Miralem Pjanić
dries-mertens,Dries Mertens
ari-freyr-skulason,Ari Skúlason
