asset_ID,currency,image_URL,name,price,purchase_URL
19,ETH,https://lh3.googleusercontent.com/q4T01VnDnUPBUFgUdTcqsNJq7kCYIdFsp4PfpEKhzEqhzNhx1-U0DMYvfGDt9UyU4HT9dhLEDg71TPnbfGrLcHld,"Triton, Emperor of the Seven Seas #118200053",0.28,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118200053
20,ETH,https://lh3.googleusercontent.com/zODyfU3Dwyn1-vVLxqEFxOQDevCG7l7Fq5iZN2M77ZYsTzuKP4j8wQrX4-GEDpLROAxGbbHA5dYO_Tqyb3xokVkj,"Triton, Emperor of the Seven Seas #118200020",0.2003,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118200020
21,ETH,https://lh3.googleusercontent.com/6CMxwOMq8b4m4XuR2cq8wIhQWINmLqrKXewlbFnnS2CJoDzQxgOx88cqasXBgxC80BOeC_0Jg7l4k_x9M0sbm19Z,Phoenix #118300089,0.19,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118300089
22,ETH,https://lh3.googleusercontent.com/DnXnO3WMJCegXY-bHv1vnnxdwVJ0W1dv_otpVcGDysMHPCMFpmMHp_HM2rokUN2KLcKqKWnY9Tiop6KEZZ0UvYYX,Laurier's Experiment #118650105,0.09,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118650105
23,ETH,https://lh3.googleusercontent.com/o7x_LX5RLgC8LbClr96oHrYoObjUSw_fXS5jVHe7JjwJGyReO9x0bik4TztT36dZ5d3WOz6C0SrJe0ZXaT97wWo,Laurier's Experiment #118650052,0.11,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118650052
24,ETH,https://lh3.googleusercontent.com/o7x_LX5RLgC8LbClr96oHrYoObjUSw_fXS5jVHe7JjwJGyReO9x0bik4TztT36dZ5d3WOz6C0SrJe0ZXaT97wWo,Laurier's Experiment #118650050,0.2,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118650050
25,ETH,https://lh3.googleusercontent.com/W_ONEcaBSZ7irHm7_nJOdvSxOftxkkyDoYgrpsRZkliOO7IdRggYmxNOVf93TjOFPsf9r0KrOa2_-IgFUQRu7m9V,"Yuki, the Cat Magic Knight #117750019",0.7,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/117750019
26,ETH,https://lh3.googleusercontent.com/0ZIHLAw_95rVV0w0JqT-JXvqzaC6rfZ8LQw7X3tJchF47gjzCftxg55zKj8Ajwl74gI6WCT1KKpu6p4CxVciwO53,Spica #116400113,0.12,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/116400113
27,ETH,https://lh3.googleusercontent.com/JaQTBLu1ynx38oZaQS7nWVmgePIljnEllAp9yOCm1LvWAlmGj8dDb3v_KihhoAy_mrl2l7NhSyGFf232zh1frtXj_w,Byakhee #117600067,0.08,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/117600067
28,ETH,https://lh3.googleusercontent.com/G_rCqCza6NpUB5LxTweJkHv6fnWFDzDwBwWTbFkWf9_-V8g2qFHF7yL7bbNieHSSSyzvQmpiKqVK5b9BrVqGKgJl,Chain of Hearts #116450080,0.12,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/116450080
